# АНОН МГН — Битва мнений
# Часть 6: вопросы 501–600
# Темы: работа, деньги, покупки, iPhone и техника.
# Каждый вопрос имеет 2 логичных сопоставимых варианта.
# Пары не повторяются с вопросами 001–500.
# Формат: ID | ВОПРОС | ВАРИАНТ_1 | ВАРИАНТ_2 | КАТЕГОРИЯ

501 | Что важнее в работе? | хорошая зарплата | приятный коллектив | работа
565 | Что важнее? | бренд | удобство | деньги
566 | Что выберешь? | потратить на хобби | отложить на будущее | деньги
567 | Что приятнее? | купить то, что давно хотел | случайно найти очень выгодную покупку | деньги
568 | Что выберешь? | дорогой подарок себе | поездку с друзьями | деньги
569 | Что лучше? | планировать покупки заранее | покупать спонтанно | деньги
570 | Что важнее? | иметь деньги сейчас | иметь больше денег потом | деньги
571 | Что выберешь? | iPhone | Android | айфон
572 | Что важнее в iPhone? | камера | экран | айфон
573 | Что выберешь? | обычный iPhone | iPhone Pro | айфон
574 | Что лучше? | большой экран | компактный размер | айфон
575 | Что важнее? | много памяти | мощная камера | айфон
576 | Что выберешь? | чёрный iPhone | белый iPhone | айфон
577 | Что лучше? | тонкий чехол | защитный толстый чехол | айфон
578 | Что выберешь? | чехол | носить iPhone без чехла | айфон
579 | Что важнее? | быстрая зарядка | долгая работа от батареи | айфон
580 | Что выберешь? | AirPods | обычные беспроводные наушники | айфон
581 | Что лучше? | Face ID | код-пароль | айфон
582 | Что важнее? | качество фото | качество видео | айфон
583 | Что выберешь? | новый iPhone попроще | старый iPhone Pro | айфон
584 | Что лучше? | купить iPhone сразу | подождать новую модель | айфон
585 | Что важнее? | цвет телефона | объём памяти | айфон
586 | Что выберешь? | iPhone с большим экраном | iPhone полегче | айфон
587 | Что лучше? | снимать фото | снимать видео | айфон
588 | Что выберешь? | яркий чехол | прозрачный чехол | айфон
589 | Что важнее? | чтобы телефон выглядел красиво | чтобы телефон долго держал заряд | айфон
590 | Что выберешь? | купить новый iPhone | оставить старый ещё на год | айфон
591 | Что удобнее? | заряжать проводом | заряжать без проводов | айфон
592 | Что выберешь? | iPhone с 128 ГБ | iPhone с 256 ГБ | айфон
593 | Что лучше? | снимать на основную камеру | снимать на фронталку | айфон
594 | Что важнее в смартфоне? | плавность работы | внешний вид | айфон
595 | Что выберешь? | максимальная яркость экрана | экономия батареи | айфон
596 | Что лучше? | держать фото в телефоне | хранить фото в облаке | айфон
597 | Что выберешь? | Apple Watch | AirPods | айфон
598 | Что важнее? | быстрое открытие приложений | хорошая камера ночью | айфон
599 | Что выберешь? | новый iPhone без аксессуаров | старый iPhone с AirPods и часами | айфон
600 | Что важнее при покупке iPhone? | цена | состояние телефона | айфон
