# АНОН МГН — Битва мнений
# Часть 3: вопросы 201–300
# В этой части есть мат/дерзкий юмор, но без алкоголя и других опасных веществ.
# Каждый вопрос имеет 2 логичных сопоставимых ответа.
# Пары не повторяются с вопросами 001–200.
# Формат: ID | ВОПРОС | ВАРИАНТ_1 | ВАРИАНТ_2 | КАТЕГОРИЯ

238 | Что приятнее услышать от друга? | «я рядом» | «я тебя понимаю» | дружба
239 | Что лучше в новом знакомстве? | быстро найти общую тему | сразу почувствовать лёгкость | общение
240 | Что сложнее? | первым извиниться | первым написать после ссоры | дружба
241 | Что важнее при симпатии? | чтобы было легко общаться | чтобы тянуло к человеку | отношения
242 | Что приятнее на свидании? | много смеяться | много разговаривать | отношения
243 | Что лучше показывает заботу? | спросить, как ты | помочь делом | отношения
244 | Что важнее в отношениях? | уважение к границам | умение договариваться | отношения
245 | Что милее? | неожиданный комплимент | неожиданное доброе сообщение | отношения
246 | Что лучше при ревности? | сразу обсудить | сначала успокоиться | отношения
247 | Что приятнее? | долгая прогулка вдвоём | долгий разговор ночью | отношения
248 | Что важнее в паре? | чувство юмора | похожий взгляд на жизнь | отношения
249 | Что лучше для первого шага? | прямо сказать о симпатии | сначала чаще общаться | отношения
250 | Что приятнее получить? | милый мем | милое голосовое | отношения
251 | Что удобнее? | беспроводные наушники | проводные наушники | техника
252 | Что выберешь? | тёмная тема | светлая тема | техника
253 | Что лучше для учёбы? | ноутбук | планшет | техника
254 | Что удобнее для игр? | мышка и клавиатура | геймпад | техника
255 | Что важнее в телефоне? | камера | батарея | техника
256 | Что удобнее? | один большой монитор | два обычных монитора | техника
257 | Что выберешь для переписки? | Telegram | VK | интернет
258 | Что приятнее смотреть? | короткие мемные ролики | длинные разборы | интернет
259 | Что лучше для фона? | музыка | подкаст | интернет
260 | Что хуже? | 100 вкладок в браузере | 100 непрочитанных сообщений | интернет
261 | Что проще пережить? | неожиданную контрольную | вызов к доске | учёба
262 | Что лучше помогает понять тему? | пример от учителя | видеообъяснение | учёба
263 | Что приятнее после уроков? | ничего не делать | сразу закрыть домашку | учёба
264 | Что легче? | выучить правило | решить несколько примеров | учёба
265 | Что выберешь на проект? | делать презентацию | делать текстовый доклад | учёба
266 | Что удобнее? | электронный учебник | обычная книга | учёба
267 | Что лучше на перемене? | выйти на улицу | остаться внутри | учёба
268 | Что проще? | работать по плану | разобраться по ходу | учёба
269 | Что выберешь? | учиться в тишине | учиться под музыку | учёба
270 | Что приятнее? | отменённый урок | короткий учебный день | учёба
271 | Что лучше после полуночи? | пойти спать | ещё немного посидеть | жизнь
272 | Что выберешь в выходной? | гулять весь день | валяться дома | жизнь
273 | Что приятнее утром? | душ | ещё десять минут сна | жизнь
274 | Что удобнее? | готовить самому | заказывать еду | жизнь
275 | Что лучше для головы? | прогулка без телефона | вечер без соцсетей | жизнь
276 | Что выберешь на неделю? | никаких соцсетей | никаких игр | жизнь
277 | Что приятнее? | новая вещь | новое впечатление | жизнь
278 | Что лучше делать первым? | сложное дело | лёгкое дело | жизнь
279 | Что тебе ближе? | всегда приходить заранее | приходить ровно вовремя | жизнь
280 | Что выберешь вечером? | горячий душ | тёплый плед | жизнь
281 | Что пиздецовее? | отправить сообщение не тому человеку | случайно включить камеру | рофл
282 | Что кринжовее? | сказать «тебе тоже» официанту | помахать человеку, который махал не тебе | рофл
283 | Что выберешь на день? | говорить как диктор | ходить как персонаж игры | рофл
284 | Что хуже? | все твои мысли появляются субтитрами | все твои эмоции звучат вслух | рофл
285 | Что смешнее? | кот, который ворчит как дед | собака, которая закатывает глаза | рофл
286 | Что выберешь? | вечно холодные руки | вечно растрёпанные волосы | рофл
287 | Что бесит сильнее? | когда человек пишет «ау» | когда пишет «??» | рофл
288 | Что хуже в чате? | случайно отправить скрин тому, кого обсуждали | случайно переслать чужое сообщение обратно автору | рофл
289 | Что выберешь ради угара? | целый день говорить рифмами | целый день отвечать мемами | рофл
290 | Что звучит как больший пиздец? | телефон читает твои сообщения вслух | наушники сами включают музыку на максимум | рофл
291 | Кого бы взял с собой в путешествие? | капибару | енота | животные
292 | Кто смешнее выглядит, когда злится? | кот | хомяк | животные
293 | Кого было бы интереснее понимать? | ворон | дельфинов | животные
294 | Кого бы выбрал талисманом? | пингвина | выдру | животные
295 | Кого приятнее встретить в лесу? | белку | зайца | животные
296 | Что выберешь из суперспособностей? | телепортацию | невидимость | рандом
297 | Что полезнее? | читать мысли | видеть будущее на минуту вперёд | рандом
298 | Куда бы выбрал мгновенно попасть? | к морю | в горы | рандом
299 | Что интереснее? | жить в прошлом | жить в будущем | рандом
300 | Что выберешь? | идеальную память | умение мгновенно засыпать | рандом
