# АНОН МГН — Битва мнений
# Часть 2: вопросы 101–200
# Каждый вопрос имеет 2 логичных сопоставимых варианта.
# Пары ответов не повторяются с частью 001–100.
# Формат: ID | ВОПРОС | ВАРИАНТ_1 | ВАРИАНТ_2 | КАТЕГОРИЯ

136 | Что лучше помогает не скучать? | новая тема | мини-игра | общение
137 | Какой человек приятнее в чате? | тот, кто задаёт вопросы | тот, кто много рассказывает | общение
138 | Что важнее для хорошего диалога? | интерес к собеседнику | умение поддержать тему | общение
139 | Как лучше завершить хороший разговор? | пожелать спокойной ночи | сказать «ещё спишемся» | общение
140 | Что тебе проще? | рассказать смешную историю | задать личный вопрос | общение
141 | Что комфортнее? | общаться один на один | общаться в компании | общение
142 | Что важнее в новом человеке? | доброжелательность | уверенность | общение
143 | Как приятнее общаться ночью? | спокойно по душам | угарать до утра | общение
144 | Что лучше, если разговор затих? | задать новый вопрос | дать паузу | общение
145 | Что сильнее располагает? | честность | лёгкий юмор | общение
146 | Что важнее при симпатии? | взаимный интерес | доверие | отношения
147 | Что приятнее на прогулке вдвоём? | много разговаривать | просто молчать рядом | отношения
148 | Что лучше показывает внимание? | помнить мелочи | часто писать | отношения
149 | Что важнее в паре? | уважение | поддержка | отношения
150 | Что милее? | держаться за руки | обниматься при встрече | отношения
151 | Что лучше после ссоры? | обсудить всё сразу | сначала успокоиться | отношения
152 | Что важнее в общении с симпатией? | быть собой | стараться впечатлить | отношения
153 | Что приятнее услышать? | «я скучал» | «я горжусь тобой» | отношения
154 | Что лучше для совместного вечера? | прогулка | фильм дома | отношения
155 | Что важнее на старте отношений? | не торопиться | сразу говорить честно | отношения
156 | Что выберешь утром в выходной? | ещё поспать | встать и куда-нибудь пойти | жизнь
157 | Что приятнее дома? | чистота и порядок | уютный беспорядок | жизнь
158 | Как лучше отдыхать после тяжёлого дня? | полежать в тишине | выйти прогуляться | жизнь
159 | Что выберешь? | долгий душ | быстрый душ | жизнь
160 | Что тебе ближе? | делать всё заранее | делать в последний момент | жизнь
161 | Что приятнее вечером? | выключить телефон | сидеть в переписке | жизнь
162 | Что выберешь для фона? | тишина | телевизор | жизнь
163 | Что лучше в свободный час? | полежать | заняться хобби | жизнь
164 | Что тебе ближе? | один большой план | много маленьких дел | жизнь
165 | Что выберешь? | гулять без маршрута | заранее выбрать место | жизнь
166 | Что интереснее смотреть? | стрим | обычное видео | интернет
167 | Что лучше для общения? | мемы | стикеры | интернет
168 | Что чаще сохраняешь? | смешные видео | полезные видео | интернет
169 | Что выберешь? | чат с друзьями | анонимный чат | интернет
170 | Что лучше вечером? | игра с друзьями | просмотр фильма | развлечения
171 | Что интереснее в игре? | исследовать мир | проходить задания | игры
172 | Что выберешь? | гонять по карте | соревноваться с другими | игры
173 | Что важнее в сериале? | персонажи | сюжет | кино
174 | Что приятнее смотреть? | смешное | напряжённое | кино
175 | Что выберешь перед сном? | короткое видео | одну серию | интернет
176 | Что лучше на уроке? | работать в группе | работать вдвоём | учёба
177 | Что проще запомнить? | посмотреть объяснение | прочитать самому | учёба
178 | Что приятнее после контрольной? | сразу узнать оценку | узнать позже | учёба
179 | Что выберешь на перемене? | перекусить | поболтать с друзьями | учёба
180 | Что легче начать? | большое задание | несколько маленьких заданий | учёба
181 | Что было бы смешнее? | кот, который умеет материться | попугай, который сплетничает | смешное
182 | Что выберешь? | всегда икать после слова «да» | чихать после слова «нет» | смешное
183 | Что хуже забыть дома? | телефон | ключи | смешное
184 | Что выберешь на день? | говорить только шёпотом | говорить только очень громко | смешное
185 | Что было бы полезнее? | останавливать время на минуту | перематывать время на минуту назад | смешное
186 | Что смешнее иметь дома? | мини-козу | огромного хомяка | смешное
187 | Что выберешь? | всегда ходить в тапочках | всегда носить кепку | смешное
188 | Что хуже? | вечный медленный интернет | вечные 5% зарядки | смешное
189 | Что выберешь из странного? | понимать язык котов | понимать язык собак | смешное
190 | Что лучше для рофла? | смешной голос на день | смешная походка на день | смешное
191 | Что выберешь? | уметь разговаривать с голубями | уметь спорить с навигатором | смешное
192 | Что смешнее? | кот, который будит на учёбу | будильник, который обижается | смешное
193 | Что хуже на весь день? | скрипучая обувь | слишком громкий рингтон | смешное
194 | Что выберешь ради рофла? | футболку с собственной фоткой | кружку со своим мемом | смешное
195 | Что было бы страннее? | лифт, который здоровается | холодильник, который даёт советы | смешное
196 | Кого бы завёл дома? | кота | собаку | животные
197 | Кто смешнее? | енот | капибара | животные
198 | Кого приятнее встретить в парке? | белку | ёжика | животные
199 | Кого бы выбрал в качестве необычного питомца? | кролика | попугая | животные
200 | Кто милее? | выдра | панда | животные
