# АНОН МГН — Битва мнений
# Часть 4: вопросы 301–400
# Здесь больше Магнитогорска: Гостинка, Семейный парк, Ашан, Притяжение, Аллея и городские варианты.
# Каждый вопрос имеет 2 логичных сопоставимых варианта.
# Пары не повторяются с вопросами 001–300.
# Формат: ID | ВОПРОС | ВАРИАНТ_1 | ВАРИАНТ_2 | КАТЕГОРИЯ

341 | Что возьмёшь в кино? | попкорн | начос | еда
342 | Что лучше зимой? | горячее какао | чай с мёдом | еда
343 | Что выберешь из фруктов? | киви | персик | еда
344 | Что вкуснее? | черешня | клубника | еда
345 | Что выберешь перекусить ночью? | бутерброды | хлопья с молоком | еда
346 | Что важнее в хорошем собеседнике? | не душнить | уметь поддержать разговор | общение
347 | Что приятнее в дружбе? | угарать вместе | говорить по душам | дружба
348 | Что лучше после ссоры? | написать первым | подождать, пока оба успокоятся | дружба
349 | Что больше бесит в переписке? | сухое «ок» | прочитано без ответа | общение
350 | Что лучше при знакомстве? | сразу быть собой | сначала присмотреться | общение
351 | Что приятнее получить от друга? | мем без контекста | сообщение «как ты?» | дружба
352 | Что важнее? | чтобы друг не осуждал | чтобы друг говорил правду | дружба
353 | Что лучше вечером? | долгий созвон | долгая переписка | общение
354 | Что проще? | заговорить первым | поддержать уже начатый разговор | общение
355 | Что приятнее? | когда тебя внимательно слушают | когда тебя смешат | общение
356 | Что важнее в компании? | свой вайб | общие интересы | общение
357 | Что лучше сближает? | совместные приколы | совместные проблемы | дружба
358 | Что выберешь? | друга, который всегда рядом | друга, который всегда честен | дружба
359 | Что комфортнее? | часто общаться понемногу | редко, но долго | общение
360 | Что ценнее? | поддержка словами | поддержка поступками | дружба
361 | Что милее? | внезапное «скучаю» | внезапное «думаю о тебе» | отношения
362 | Что лучше для первого свидания? | Притяжение | уютная кофейня | отношения
363 | Что важнее? | химия между людьми | схожие взгляды | отношения
364 | Что приятнее? | обняться при встрече | долго гулять вместе | отношения
365 | Что лучше показывает симпатию? | часто писать | искать повод увидеться | отношения
366 | Что важнее в начале? | не торопиться | не играть в загадки | отношения
367 | Что приятнее услышать? | «мне с тобой спокойно» | «мне с тобой весело» | отношения
368 | Что лучше после неловкой ситуации? | поржать вместе | сделать вид, что ничего не было | отношения
369 | Что важнее? | доверие | умение договариваться | отношения
370 | Что приятнее вечером? | гулять вдвоём | переписываться до ночи | отношения
371 | Что бесит сильнее? | когда говорят «успокойся» | когда говорят «не начинай» | рофл
372 | Что кринжовее? | смеяться одному со своего сообщения | перечитывать старую переписку ночью | рофл
373 | Что пиздецовее? | разбить экран телефона | потерять наушники | рофл
374 | Что хуже? | чихнуть во время тишины | уронить что-то очень громко | рофл
375 | Что выберешь на день? | говорить только мемами | говорить только цитатами | рофл
376 | Что смешнее? | кот, который требует пароль от Wi‑Fi | собака, которая смотрит сторис | рофл
377 | Что заебывает больше? | вечные уведомления | вечные звонки | рофл
378 | Что хуже случайно отправить? | свою тупую фотку | голосовое с матом | рофл
379 | Что выберешь ради прикола? | дурацкий ник на месяц | дурацкую аву на месяц | рофл
380 | Что смешнее представить? | бабушку-стримера | деда-блогера | рофл
381 | Что лучше в выходной? | спать до обеда | встать рано и куда-то пойти | жизнь
382 | Что тебе ближе? | всегда всё планировать | решать всё в последний момент | жизнь
383 | Что приятнее после тяжёлого дня? | горячий душ | лечь под плед | жизнь
384 | Что выберешь? | неделю без соцсетей | неделю без игр | жизнь
385 | Что важнее сейчас? | больше денег | больше свободного времени | жизнь
386 | Что приятнее? | тишина дома | музыка на фоне | жизнь
387 | Что выберешь утром? | ещё 15 минут сна | нормально позавтракать | жизнь
388 | Что лучше? | одна большая цель | много маленьких целей | жизнь
389 | Что тебе ближе? | быть дома | быть постоянно где-то | жизнь
390 | Что выберешь вечером? | прогулка | сон пораньше | жизнь
391 | Что важнее в игре? | интересный мир | хороший сюжет | игры
392 | Что выберешь? | играть с друзьями | смотреть, как играют другие | игры
393 | Что приятнее? | найти новую игру | вернуться в старую любимую | игры
394 | Что выберешь на вечер? | комедия | триллер | кино
395 | Что важнее в сериале? | любимые персонажи | непредсказуемый сюжет | кино
396 | Что лучше смотреть? | одну серию за раз | несколько серий подряд | кино
397 | Что чаще открываешь первым? | Telegram | YouTube | интернет
398 | Что лучше? | отправить мем | отправить голосовое | интернет
399 | Что выберешь? | смотреть стрим | играть самому | интернет
400 | Что приятнее перед сном? | музыка | короткие видео | интернет
